survey,variable,year,quarter,n,mean,median,sd,iqr
us,CPI10,2009,3,30,2.55277,2.5,0.6075001751950933,0.6892249999999995
us,CPI10,2009,4,34,2.3511352941176473,2.2626999999999997,0.5688511435912408,0.7542000000000004
us,CPI10,2010,1,36,2.3937055555555555,2.3899999999999997,0.5951379426867328,0.40107500000000007
us,CPI10,2010,2,39,2.4232384615384612,2.4,0.6740024494783634,0.5860000000000003
us,CPI10,2010,3,30,2.3340633333333334,2.3,0.4537706503201304,0.5775000000000001
us,CPI10,2010,4,40,2.3464300000000002,2.2,0.7249127276208265,0.7000000000000002
us,CPI10,2011,1,36,2.2907166666666665,2.3,0.5529454457720038,0.5
us,CPI10,2011,2,35,2.573942857142857,2.4,0.8366496006607033,0.5827
us,CPI10,2011,3,29,2.5334241379310347,2.4,0.8584230657162555,0.5
us,CPI10,2011,4,40,2.4877825,2.5,0.5693569084265835,0.5825000000000005
us,CPI10,2012,1,37,2.488018918918919,2.3,0.8388632559196596,0.6000000000000001
us,CPI10,2012,2,33,2.4387909090909092,2.48,0.5315084632226215,0.5
us,CPI10,2012,3,40,2.4479925000000002,2.3499999999999996,0.573662749306862,0.6000000000000001
us,CPI10,2012,4,34,2.34004705882353,2.3,0.4319175014066811,0.3999999999999999
us,CPI10,2013,1,39,2.3261641025641024,2.3,0.4453518854067619,0.47499999999999964
us,CPI10,2013,2,38,2.2767421052631573,2.3,0.4328377803810312,0.5711750000000002
us,CPI10,2013,3,34,2.2159882352941174,2.205,0.3905473732679409,0.5
us,CPI10,2013,4,38,2.219492105263158,2.3,0.3842313157331696,0.5
us,CPI10,2014,1,40,2.2944225000000005,2.3,0.3921262993079836,0.4249999999999998
us,CPI10,2014,2,38,2.276684210526316,2.25,0.342579877863437,0.4750000000000001
us,CPI10,2014,3,39,2.274346153846154,2.2,0.39330918121026803,0.5
us,CPI10,2014,4,36,2.1880555555555556,2.2,0.3080128415174967,0.40249999999999986
us,CPI10,2015,1,33,2.1433424242424244,2.1,0.30896406650926156,0.2999999999999998
us,CPI10,2015,2,38,2.1815342105263156,2.135,0.39615840489756304,0.2999999999999998
us,CPI10,2015,3,36,2.2392777777777777,2.1500000000000004,0.2881912669551358,0.5
us,CPI10,2015,4,35,2.184551428571429,2.15,0.3724527821407295,0.3434999999999997
us,CPI10,2016,1,35,2.2121571428571425,2.12,0.31223454917334015,0.3999999999999999
us,CPI10,2016,2,35,2.2369285714285714,2.2,0.32235166453774067,0.3668499999999999
us,CPI10,2016,3,34,2.207176470588235,2.1500000000000004,0.3748304829449461,0.3999999999999999
us,CPI10,2016,4,34,2.233238235294118,2.2161,0.24980164132549784,0.393675
us,CPI10,2017,1,31,2.419045161290323,2.3,0.43534347806355517,0.34499999999999975
us,CPI10,2017,2,31,2.3387451612903227,2.3,0.3331500080931608,0.3173499999999998
us,CPI10,2017,3,33,2.2654939393939393,2.25,0.25305409740235624,0.2999999999999998
us,CPI10,2017,4,34,2.2042470588235292,2.2,0.19164878741687902,0.28749999999999964
us,CPI10,2018,1,31,2.2868741935483867,2.25,0.29782538616639326,0.32499999999999973
us,CPI10,2018,2,28,2.31765,2.3,0.30584870442753226,0.2745000000000002
us,CPI10,2018,3,30,2.26945,2.2,0.2833336071330658,0.19999999999999973
us,CPI10,2018,4,30,2.24246,2.21,0.18286037183109655,0.2749999999999999
us,CPI10,2019,1,31,2.2225032258064514,2.2,0.2655872681233935,0.2999999999999998
us,CPI10,2019,2,32,2.2002468750000004,2.2,0.2162753963970325,0.22499999999999964
us,CPI10,2019,3,28,2.2030678571428575,2.2,0.24120516248632184,0.2999999999999998
us,CPI10,2019,4,27,2.1650037037037033,2.2,0.16601784075000323,0.2999999999999998
us,CPI10,2020,1,28,2.2323357142857145,2.2,0.25661190211461027,0.21499999999999986
us,CPI10,2020,2,34,2.097902941176471,2.135,0.28707058416723513,0.375
us,CPI10,2020,3,27,2.0732925925925927,2.03,0.272007670884376,0.3500000000000001
us,CPI10,2020,4,25,2.144796,2.12,0.2150464784645403,0.2599999999999998
us,CPI10,2021,1,29,2.2384068965517243,2.2,0.20851664361634212,0.2999999999999998
us,CPI10,2021,2,28,2.353214285714286,2.3,0.30992297216768017,0.2999999999999998
us,CPI10,2021,3,28,2.4615499999999995,2.4367,0.2604705350507608,0.3250000000000002
us,CPI10,2021,4,28,2.5814464285714287,2.55,0.38261672872194646,0.5249999999999999
us,CPI10,2022,1,26,2.490123076923077,2.49815,0.361296825679598,0.39827499999999993
us,CPI10,2022,2,23,2.7798565217391307,2.8,0.577859467679947,0.42500000000000027
us,CPI10,2022,3,27,2.887181481481482,2.8,0.4917202425684415,0.44999999999999973
us,CPI10,2022,4,27,3.0650222222222223,2.95,0.49422707124227616,0.40000000000000036
